ID,Tier,Region,Jurisdiction / Institution,Institution,Document Title,Document Type,Publication Date,Source URL,Stance,Disclosure,Discretion,Focus (Primary),Focus (Secondary),Enforcement,Coverage,Key Quote (verbatim),Coder Notes,Coder,Date Coded,Stance #,Tier #,Governance Domain
NYC-054,Course-wide,NYC,Columbia University,Columbia,PSYC UN 2235: Thinking and Decision Making,Syllabus,Spring 2024,https://psychology.columbia.edu/sites/psychology.columbia.edu/files/content/UN2235%20Syllabus%20for%20Spring%202024%20KFG.pdf,Functional,Not specified,Instructor decides,Pedagogy/Learning,Academic Integrity,Referenced to integrity code,Students only,"Generative AI tools like ChatGPT and Bard can do a lot of heavy lifting in academic contexts. Such tools aren’t inherently good or bad—it’s all up to how you use them. 
Ultimately, the ideas and words you share in class and in your written work for this course should all be your own. 
In presentations, although you’re welcome to seek AI help in the aesthetics of your slides, the words presented in them should be your own. 
And in your policy paper and final papers, it’s fine to get AI help with editing, but the ideas on the page need to have been produced by you alone",,EY,05/14,2,5,Internal
NYC-055,Course-wide,NYC,Columbia University,Columbia,COMS 4705: Natural Language Processing,Syllabus,Spring 2024,https://www.cs.columbia.edu/~johnhew/coms4705/index.html,Functional,Not specified,Instructor decides,Pedagogy/Learning,Academic Integrity,None stated,Students only,"AI tools (e.g., ChatGPT, Cursor, Claude Code) are fully allowed for Assignments 1–4. While I recommend doing the assignments on your own (or with minimal AI hints) as prep for exams, you may use AI to fully solve them if you wish. 
It is your responsibility to ensure that submitted code and math are correct.",,EY,05/14,2,5,Internal
HK-001,National/Federal,Hong Kong,,,MOE sets 2026 priorities for digital education,Official Guidance,4/1/2026,http://en.moe.gov.cn/news/press_releases/202604/t20260406_1432962.html,Encouraging,Not specified,Gov-mandated,Professional Readiness,Pedagogy/Learning,Guidance only,Whole community,"The MOE convened a meeting on March 31 to outline priorities for the next phase of the country’s digital education strategy, with a focus on integrating artificial intelligence (AI) across teaching, learning and educational management.

Looking ahead, the meeting called for more systematic integration of AI across different areas of education. In schools, the focus will be on supporting personalized learning and equipping students with interdisciplinary skills relevant to emerging industries. In the field of lifelong learning, the meeting emphasized expanding digital platforms to better connect education with industry and society, with a view to improving the employability of graduates and supporting continuous skill development.","This is an official press release article. It is included here because there is no equivalent ""original text"" available.

We cannot say this 2026 March 31 meeting had any effect on the HK institutions just yet (too recent). But we can see the alignment across different Tiers.
""Industry"" seems to be very important in their framework.",YM,,3,1,External
HK-002,National/Federal,Hong Kong,,,Ten major reforms shaping China’s education landscape in 2025,Official Guidance,12/31/2025,http://en.moe.gov.cn/news/press_releases/202601/t20260120_1427027.html,Encouraging,Not specified,Gov-mandated,Professional Readiness,,Guidance only,Whole community,"[Three of the ten ""reform themes"" mentioned AI]

3. Rebalancing university disciplines and degree programs - ""New programs have been introduced in areas such as artificial intelligence...""
5. Training elite engineers for industries of strategic importance - ""In fields such as semiconductors and artificial intelligence, universities and companies jointly recruit students, design curricula, supervise research, and share outcomes.""
8. Expanding access to quality undergraduate education - ""New places are concentrated in strategic fields such as artificial intelligence...""","This is an official press release article. It is included here because there is no equivalent ""original text"" available.
It summarizes the reform themes observed after MOE's ""three-year action plan"" and ""a series of targeted reforms"".

AI is one of the country's major ""Strategic fields"".",YM,,3,1,External
HK-003,National/Federal,Hong Kong,,,教育部等五部门关于印发《“人工智能+教育”行动计划》的通知,Official Guidance,4/10/2026,https://www.nda.gov.cn/sjj/zwgk/zcfb/0413/20260410162428109058250_pc.html,Encouraging,Not specified,Gov-mandated,Professional Readiness,AI Literacy,Guidance only,Whole community,"（二）培育面向智能时代的高层次人才。推动人工智能成为高校公共基础课，按学科专业分类编写课程教材，推动全体学生掌握人工智能知识。根据人工智能技术特点，打造“短实新”的前沿创新课程。优化传统学科专业人才培养方案，指导高校开设人工智能交叉融合课程，丰富跨学科、跨专业课程群，培养复合型交叉人才。根据产业结构智能升级优化调整学科专业设置，新设一批适应新技术、新产业、新业态的学科专业。整合高水平研究型大学、科技领军企业、国家实验室等力量，深化学科交叉、产教融合、科教融汇，探索人工智能拔尖创新人才培养新模式。
(Google translate (verified): (II) Promote the integration of artificial intelligence (AI) as a core general education course within higher education institutions, developing specialized textbooks tailored to specific academic disciplines and majors to ensure that all students acquire a foundational understanding of AI. Drawing upon the unique characteristics of AI technology, develop cutting-edge, innovative courses that are concise, practical, and forward-looking. Optimize talent cultivation plans for traditional academic disciplines; guide universities in establishing interdisciplinary AI courses; enrich the array of cross-disciplinary and cross-major course clusters; and cultivate versatile, interdisciplinary talent. Adjust and optimize academic discipline and major offerings in alignment with the intelligent upgrading of industrial structures, establishing a new cohort of disciplines and majors designed to meet the demands of emerging technologies, industries, and business models. Integrate the resources of high-level research universities, leading technology enterprises, and national laboratories to deepen interdisciplinary convergence, industry-education integration, and science-education synergy, thereby exploring new models for cultivating top-tier, innovative talent in the field of artificial intelligence.)","References two other documents (including HK-004):
""根据《教育强国建设规划纲要（2024—2035年）》战略部署，按照《国务院关于深入实施“人工智能+”行动的意见》的要求，制定本计划。""

For details, search for 高校 (= Higher Education Institutions) in the main text.
Note that HK Inst. strictly speaking are not governed by these guidelines.",YM,,3,1,External
HK-004,National/Federal,Hong Kong,,,国务院关于深入实施“人工智能+”行动的意见,Official Guidance,7/13/2023,https://www.mee.gov.cn/zcwj/gwywj/202508/t20250827_1126207.shtml,Encouraging,Not specified,Gov-mandated,Pedagogy/Learning,AI Literacy,Guidance only,Whole community,"""推行更富成效的学习方式。把人工智能融入教育教学全要素、全过程，创新智能学伴、智能教师等人机协同教育教学新模式，推动育人从知识传授为重向能力提升为本转变，加快实现大规模因材施教，提高教育质量，促进教育公平。构建智能化情景交互学习模式，推动开展方式更灵活、资源更丰富的自主学习。鼓励和支持全民积极学习人工智能新知识、新技术。
(Promote more effective learning methods. Integrate artificial intelligence into every element and stage of education and instruction; pioneer new human-machine collaborative models—such as intelligent learning companions and AI teachers—to drive a shift in pedagogy from a primary focus on knowledge transmission to one centered on capability enhancement; accelerate the realization of personalized instruction on a large scale; improve educational quality; and foster educational equity. Establish intelligent, context-aware interactive learning models to facilitate self-directed learning characterized by greater flexibility and richer resources. Encourage and support the entire populace in actively acquiring new knowledge and technologies related to artificial intelligence.)""","Referenced by HK-003.

This is the first document in the list that takes Learning as the main focus (rather than Industry needs).",YM,,3,1,External
HK-005,National/Federal,Hong Kong,,,Global AI Governance Action Plan,Official Guidance,7/26/2025,https://hk.ocmfa.gov.cn/eng/xjpzxzywshd/202507/t20250729_11679232.htm,Encouraging,Not specified,Gov-mandated,Privacy/Data/Ethics,Equity,Guidance only,Whole community,"To this end, we hereby put forward the Global AI Governance Action Plan, calling on all parties to take concrete and effective actions in advancing global AI development and governance based on the objectives and principles of promoting AI for good and in service of humanity, respecting national sovereignty, aligning with development goals, ensuring safety and controllability, upholding fairness and inclusiveness, and fostering open cooperation.

""Education"" was mentioned under:
3. Advancing AI empowerment across industries.
9.Spearheading deployment and application by the public sector.
12.Strengthening international cooperation on AI capacity building.","Another press release, which seems to be the only reference for this Action Plan? Mentions ""AI+"" (HK-004).",YM,,3,1,External
HK-006,City/Territory,Hong Kong,,,The Chief Executives 2025 Policy Address Supplement,Executive Order,9/17/2025,https://www.policyaddress.gov.hk/2025/public/pdf/supplement/supplement-full_en.pdf,Encouraging,Not specified,Gov-mandated,Pedagogy/Learning,AI Literacy,Guidance only,Whole community,"Promote digital education
Collaborate with professional bodies to launch
pilot schemes to promote AI education,
including enhancement of professional
training for teachers and strengthening the
application of Generative AI in learning and
teaching. (EDB)",Grand direction,,,3,2,External
HK-007,City/Territory,Hong Kong,,,The Chief Executive's 2024 Policy Address Education Bureau’s Policy Initiatives,Executive Order,11/1/2024,https://www.edb.gov.hk/en/about-edb/legco/policy-address/2024_Panel_on_Education_Eng.pdf,Encouraging,Not specified,Gov-mandated,Pedagogy/Learning,AI Literacy,Guidance only,Whole community,"Setting up the Steering Committee on Strategic Development of Digital Education
16. To dovetail with the national development of digital education and to nurture talents for the innovation and technology (I&T) sector, the Government will continue to step up the promotion of STEAM education in primary and secondary schools, and enhance information technology in education to facilitate the deep integration of I&T, including artificial intelligence (AI), in education. We will set up the Steering Committee on Strategic Development of Digital Education in this school year to tender advice and suggestions on promoting digital education.

[p.20] Under ""Proposal on Launching the Research Matching Grant Scheme"": mentioned ""artificial intelligence""
the Government proposes to launch the Scheme again in 2025 with $1.5 billion of matching grants to encourage the higher education sector to expand their research funding sources, and bolster support for the institutions’ academic research endeavours. The Scheme will cover four years from mid-2025 to mid-2029","Grand direction

FIrst quote mostly directed to Primary and Secondary schools

Money is spent",,,3,2,External
HK-008,City/Territory,Hong Kong,,,Hong Kong Generative Artificial Intelligence Technical and Application Guideline,Official Guidance,12/1/2025,https://www.digitalpolicy.gov.hk/en/our_work/data_governance/policies_standards/ethical_ai_framework/doc/HK_Generative_AI_Technical_and_Application_Guideline_en.pdf,Encouraging,Recommended,Gov-mandated,Privacy/Data/Ethics,Equity,Guidance only,Whole community,"Content Safety is a critical issue for generative AI services.Fabrication of Rumours refers to the challenge wherein generative AI services can produce highly convincing text, images, audio, video, and other multimedia content.

education technology (EdTech) sector should ensure equitable access, preventing learning outcomes from being affected by algorithmic bias.

Education: The education sector should regulate the use and scope of generative AI rather than outright banning students from using it. However, students should obtain teacher approval before using AI in their coursework, and AI-generated content should be clearly identifiable to prevent misuse that violates academic integrity. When teachers use generative AI in teaching, they must ensure that the generated content is truthful, accurate, and consistent in both textual and visual representation. If AI is used for grading assignments and exams, final results should always be reviewed by human educators.
",Their primary concern is the quality of the content and the threat it poses to society. This is very much within the realm of AI ethics,,,3,2,External
HK-009,City/Territory,Hong Kong,,,Ethical Artificial Intelligence Framework,Official Guidance,12/1/2025,https://www.digitalpolicy.gov.hk/en/our_work/data_governance/policies_standards/ethical_ai_framework/doc/Ethical_AI_Framework_en.pdf,Encouraging,Recommended,Gov-mandated,Privacy/Data/Ethics,Equity,Guidance only,Whole community,"balance AI innovation and development, application and responsibility, thereby constructing a governance framework with local characteristics that is suitable for Hong Kong's context

Organisations can make use of the Ethical AI Framework when adopting AI and big data analytics
in their IT projects or services. Ethical AI Framework is defined not only to serve as a
reference/guide for the IT project team during the development and maintenance process. It also
defines the governance structure to enable organisations to demonstrate accountability in building
trust upon adoption of AI by evaluating the impact, ensuring safe and responsible use of AI and
facilitating innovation.
","HongKong gov is basically saying: they have a good ai guidelines, please follow them, but they are not making them",,,3,2,External
HK-010,City/Territory,Hong Kong,,,Fund for Innovative Technology-in-Education,Official Guidance,11/17/2025,https://www.ugc.edu.hk/eng/ugc/activity/teach_learn/fite.html,Encouraging,Not specified,Gov-mandated,Pedagogy/Learning,AI Literacy,Guidance only,Whole community,"The UGC announced the launch of the Fund for Innovative Technology-in-Education (FITE) with a funding allocation of $100 million in June 2023 for 2023/24 – 2025/26 academic years, with $20 million earmarked for inter-institutional collaborative activities between institutions. The FITE aims to provide an impetus for universities to harness innovative and breakthrough technologies in transforming pedagogies and enriching student learning experiences, and to nurture a digitally competent and technologically responsible generation, for the future success of their students in the digital economy.",$,YM,,3,2,External
HK-011,Institutional,Hong Kong,,HKU,Academic Integrity and University-wide Core Principles for Using AI in Teaching and Assessment,Official Guidance,2026,https://talic.hku.hk/innovation/ai-ethics/core-principles/,Cautious,Required,Hybrid,Academic Integrity,Privacy/Data/Ethics,Referenced to integrity code,Students and Faculty,"Staff and students are reminded that the HKU regulations and policies regarding plagiarism and academic mis-conduct supersede all other regulations, where there is a conflict, these regulations and policies take precedence. ANY misuse of AI or misrepresentation of AI work as one’s own independent creative work violates the HKU regulations as well as generally accepted principles of community, integrity and honor. Violations will be referred to the university disciplinary committee. Staff are reminded to draw students’ attention to this. With the advent of more sophisticated AI tools, it is essential that staff clearly explain to students the purpose of each assignment and/or assessment, and how this purpose has influenced their decisions about the extent to which use of AI is allowed/restricted

instructors can decide how they wish to integrate AI in their academic practice; nonetheless, the core principles below provide guidance on current “best use”.","Core principles

School will provide a general guideline and faculty can lead their own rules on their own",,,1,3,Internal
HK-012,Institutional,Hong Kong,,HKU,Policy for AI in Education,Official Guidance,?,https://aied.talic.hku.hk/aipolicy/,Encouraging,Recommended,Hybrid,Equity,Privacy/Data/Ethics,Guidance only,Students and Faculty,"The six core principles to AI policy in education are:
- equal access is important;
- guaranteeing AI security is critical;
- AI literacy is essential;
- rethinking pedagogy is most likely necessary;
- course assessment will be greatly impacted and may need to be redesigned; and
- academic integrity is an issue of concern for staff and students alike.

Assessment
Teachers and course coordinators need to consider if they will include and/or integrate GenAI into assessments and, if so, how to ensure assessments remain authentic and fair. They must critically evaluate current assessment methods that may be susceptible to student use of GenAI and consider replacing them with alternatives.

Integrity
Students are accountable for all work they submit for assessments, including any content generated or used with the assistance of GenAI. The use of AI tools should be properly cited to state its contributions, alongside a declaration of how human judgment and oversight were exercised to achieve the final product.","Many big keywords: Equity, Privacy/secutiry, AI Literacy, Pegagogy, Academic integrity",,,3,3,Internal
HK-013,Institutional,Hong Kong,,HKU,Guidelines on the Responsible Use of Generative AI in Research at The University of Hong Kong,Official Guidance,9/8/2025,https://www.rss.hku.hk/research-integrity/GenAI-research-guidelines.pdf,Cautious,Required,Hybrid,Academic Integrity,Privacy/Data/Ethics,Referenced to integrity code,Researchers only,"This document aims to provide general guidance on effective and responsible use of AI
in research, especially in relation to the use of GenAI. The guidelines supplement and
complement existing HKU policies, e.g. the Policy on Research Integrity
(https://www.rss.hku.hk/integrity/rcr/policy) and Intellectual Property Rights Policy
(https://www.rss.hku.hk/contracts/ipr), which should also be read and applied together
with these guidelines.

Use of GenAI for ideation and background research is only acceptable if
• this specific usage of the GenAI system is duly documented and acknowledged;
• the researcher has verified the accuracy, fairness, and originality (or lack of originality) of text, figures, table and data generated by a GenAI tool;
• the researcher has verified that all relevant external primary sources are cited and represented fully and fairly; and
• the use of GenAI does not inevitably disclose patentable inventions

Students and assistants should seek approval from their supervisors on plans to use GenAI tools in the research process, and the usage should be well documented. Research students should also declare their use of GenAI tools and specify their usage at the time of thesis submission for examination.
",Built upon existing inst. policy.,YM,,1,3,Internal
HK-014,Institutional,Hong Kong,,HKU,Responsible Use of Generative AI in Research at HKU,Official Guidance,5/14/2026,https://www.rss.hku.hk/integrity/generative-ai,Cautious,Recommended,Hybrid,Academic Integrity,Privacy/Data/Ethics,Guidance only,Students and Faculty,"General Principles of Responsible Use
1. Research Integrity
Avoid misleading information and ensure AI-generated content is accurate and do not violate research integrity principles, including fabrication, falsification, or misconduct.
Be aware of potential biases in GenAI outputs and interpret results critically.
2. Data Validity and Quality Control
Critically verify and interpret GenAI-generated content.
Use human judgment and domain expertise to assess GenAI outputs.
Do not rely solely on GenAI-generated content for research conclusions or publications.
[There are several more points]

Under ""Best Practice"": Document Usage: Keep detailed records of how and when GenAI tools are used in the research process. 

Notes
This webpage aims to foster a culture of responsible and ethical use of GenAI in research, in alignment with HKU's overarching policies on research integrity and data management. It does not replace or supersede the standards set out in the Guidelines on the Responsible Use of Generative AI in Research at The University of Hong Kong. This webpage should also be read in conjunction with other institutional policies and regulations.",They share a open mind for new ai tools and finding the right/postive method to accret with GENAI.,cy,,1,3,Internal
HK-015,Institutional,Hong Kong,,HKU,Guidebook: Generative Artificial Intelligence for Teaching and Learning ,Official Guidance,2025,https://commoncore.hku.hk/wp-content/uploads/documents/Guidebook%20-%20GenAI%20in%20Teaching%20and%20Learning.pdf,Encouraging,Not specified,Institution-mandated,Pedagogy/Learning,AI Literacy,Guidance only,Faculty only,"The guidebook explores some of these capabilities, presents examples of thoughtful applications, and engages in dialogue about GenAI’s implementations and implications. By drawing on findings from the literature, alongside student and teacher interviews and case studies, this guidebook aims to provide teachers with the knowledge, frameworks, and practical strategies necessary to make informed decisions about GenAI use.

Our hope is for teachers to use AI not merely to enhance existing models of learning but compose with it as a means to unsettle current paradigms and assumptions in higher education teaching and learning to flourish in more creative and impactful trajectories.","Not strictly a ""policy"" document.

But it contains different perspectives and use cases for faculty staff's pondering.",YM,,3,3,Internal
HK-016,Faculty/Department,Hong Kong,,HKU,Using GenAI Responsibly in Your Research — A Quick Guide for RPG Students,Official Guidance,12/1/2025,https://gradsch.hku.hk/news_and_events/newsletter/using-genai-responsibly-your-research-quick-guide-rpg-students,Functional,Required,Hybrid,Privacy/Data/Ethics,Academic Integrity,Referenced to integrity code,Students and Faculty,"Generative AI (GenAI) is transforming research by offering tools for idea generation, data processing, and content creation. However, its use introduces ethical, legal, and integrity challenges. Misuse can lead to plagiarism, data privacy breaches, and compromised research credibility. Understanding these risks ensures that GenAI is applied as a supportive tool—not a substitute for original thinking. 

For RPG supervisors 
- GenAI use should be deliberate to allow students to learn responsible research practices both with and without GenAI. 
- Supervisors should design tasks that include both GenAI-supported and GenAI-free activities. 
- The Graduate School, Faculties, Schools, Departments, and Centres should provide guidance and support to supervisors. 

For RPG students and trainees 
- Students and assistants must seek supervisor approval before using GenAI. 
- Disclosure of GenAI use is mandatory. 
- Usage should be well documented and meet the criteria for degree conferral (originality and contribution to knowledge). 
- Students must declare, and justify it when required, the use of GenAI at thesis submission. ","From Grad School.

Most of the content is about how to use it responsibly.

Points to HK-013 at the end.",YM,,2,4,Internal
HK-017,Faculty/Department,Hong Kong,,HKU,HKU Policy on Use of Generative Artificial Intelligence for Teaching and Learning,University Policy,8/8/2023,https://hkuspace.hku.hk/news/detail/hku-policy-on-use-of-generative-artificial-intelligence-for-teaching-and-learning,Functional,Not specified,Institution-mandated,Academic Integrity,,Referenced to integrity code,Students and Faculty,Please note that HKU SPACE will follow the University’s policy as per previous announcements from the Deputy Director (Academic Services) on the School’s staff intranet.,"HKU Space is the self-financing ""community colleges"" associated with HKU.",YM,,2,4,Internal
HK-018,Faculty/Department,Hong Kong,,HKU,Guidance for Using Generative AI Tools and Building Applications,Official Guidance,2026,https://innowings.engg.hku.hk/innowing1/aiguide/,Encouraging,Not specified,Not specified,Privacy/Data/Ethics,Equity,Referenced to integrity code,Students only,"Welcome to the world of generative AI and their versatile applications in building innovative solutions. These AI technologies offer powerful tools for creative problem-solving ideas and applications. However, their use must be accompanied by a strong commitment to ethical, responsible, and lawful practices. This document is intended to provide students with comprehensive guidelines for using generative AI tools and responsibly developing applications with them.

[The first 3 guidelines]
1. Responsible AI: Crafting Ethical and Responsible Contents

Generative AI tools empower us to create content. Use this power responsibly by ensuring that the generated content adheres to ethical and legal standards.
Refrain from generating content that promotes harm, bias, discrimination, misinformation, or any form of unethical behavior. Test results/contents that may have embed such unethical behavior and avoid using them.
Avoid any misuse of generative AI tools, including harassment, hate speech, plagiarism, or any illegal activities.
2. Limitation on created contents: Understanding the Limits of Generated Contents

Recognize that user of AI-generated results/contents should bear the ultimate accountability in using them.
Recognize the issues of confident responses produced by AI tools that are inaccurate or incoherent with the context, also known as hallucination, and the implications of prompt engineering in AI-generated results/contents.
Consider whether AI-generated results/contents encourage or discourage diversity and conformity.
3. Data Protection: Safeguarding User Data

Ensure that the data used with AI tools complies with the University’s privacy and data protection regulations (https://hku.hk/about/policies_reports/ privacy_policy.html).
Do not collect any unnecessary personal data from users that is not relevant to the application’s functionality.
Clearly inform individuals who utilize AI tools about the data to be collected and how the data will be used.
Understand fully how personal data inputted to AI tools will be used beyond generating immediate results.
Please seek approval from Human Research Ethics Committee (https://www.rss.hku.hk/integrity/ethics-compliance/hrec) before collecting any data for research purposes.","This document is not written for teaching/learning in a course's context.

The tone is like: AI is powerful! So use it with care.
Focusing on Data.",YM,,3,4,Internal
HK-019,Faculty/Department,Hong Kong,,HKU,Plagiarism Warning and Guidelines on Use of GenAI,Official Guidance,?,https://english.hku.hk/General_Information/Plagiarism_Warning_and_Guidelines_on_Use_of_GenAI,Cautious,Not specified,Hybrid,Academic Integrity,,Explicit penalties,Students only,"There are severe penalties for plagiarism in the School of English...

POLICY on the use of generative artificial intelligence (genai)
The University has prepared a policy document outlining the regulations that govern the use of generative artificial intelligence in teaching and learning. For details, please refer to the ""Policy on Use of Generative Artificial Intelligence for Teaching and Learning"" on the HKU Teaching and Learning website (requires HKU Portal Access).

Final advice: In case of doubt, consult your teachers or tutors.","Clearly point the ""policy"" to institutional but the decision to teachers",YM,,1,4,Internal
HK-020,Faculty/Department,Hong Kong,,HKU,Generative AI Resource Hub,FAQ/Resource Page,2026,https://www.med.hku.hk/en/teaching-and-learning/edtech/resource-hub,Encouraging,Required,Institution-mandated,AI Literacy,Pedagogy/Learning,Referenced to integrity code,Students and Faculty,"A collection of teaching materials and guidelines are being developed to facilitate the application of AI technologies in teaching and learning activities.
Guidelines on the Use of Generative Artificial Intelligence in Teaching and Learning for Professional Degree Programmes [PDF]
Generative AI literacy video series for HKUMed...","The [PDF] is password protected.

The video series is quite positive.",YM,,3,4,Internal
HK-021,Course-wide,Hong Kong,,HKU,ICSS2026_Course Syllabus,Syllabus,12/23/2025,https://summerinstitute.hku.hk/storage/media/Temp%20Files/2026_Course%20Outline/20251223_ICSS2026_Course%20Syllabus_2026-2,Functional,Not specified,Not specified,Professional Readiness,,None stated,Students only,"Students will learn how to collect, process, and analyze large-scale digital and behavioral data using computational tools such as text analysis, network analysis, social media analytics, and LLMs. Emphasis will be placed on real-world applications in social scientific domains.","LLM is one of the many tools covered in this course.
No ""specific AI policy"" statements",YM,,2,5,Internal
HK-022,Course-wide,Hong Kong,,HKU,PSYC7319 Course Syllabus,Syllabus,2025,https://psychology.hku.hk/wp-content/programmes/MSocScPsy/CourseOutlines/7319.pdf,Cautious,Required,Instructor decides,Academic Integrity,Pedagogy/Learning,Explicit penalties,Students only,"(p.6) Generative AI usage
The University provides students with access to GenAI tools. However, the GenAI tools, at least at this stage of development, should not be taken as reliable
sources of knowledge for this course, for which the answers of GenAI tools to questions are too often (a) loaded with inaccuracies, (b) incomplete, and/or (c)
misleadingly represented. Students who nonetheless choose to use any GenAI tools for completing their homework assignments should note that the same
academic integrity standards are applicable for applying the tools as for other references. The application of GenAI, if any, in submitted work should be
properly acknowledged. Submitting any GenAI output, in part or in whole, for homework assignments without explicit referencing (to indicate that the contents
concerned are generated by the GenAI sources) will constitute plagiarism.
AI tools, such as ChatGPT, DALL-E, and similar technologies, are ONLY permitted to help students, fine-tune assignments, or check grammar and writing
style unless otherwise specified (see the table below). AI tools are NOT permitted to write the entire draft of a writing assignment, paragraphs, or sentences.
You will receive a failed grade in the corresponding assessment if we suspect the content of your assignments is not written by you.
It is essential to recognize that students bear responsibility for the content generated through AI queries, ensuring that it remains compliant with intellectual
property laws, devoid of misinformation, plagiarism, and ethically sound. To maintain adherence to university policies on academic integrity, the utilization
of AI tools must be acknowledged.
Assignment/
Assessment
Purpose of assignment/Assessment Acceptable use of
AI tools
Unacceptable use of AI
tools
Reasons for allowing/
restricting use of AI tools
In-class group
presentation and
essay
Exercise critical thinking and knowledge
gained from the course to evaluate the
chosen topic.
Using AI tools for
information
gathering (finding
theories and
relevant research
studies).
Using AI tools for
checking grammar.
Using AI tools to generate
the presentation slides or
presentation scripts.
Using AI tools to generate
the outline or drafts of the
essay.
Students can use AI tools to
enhance their information
gathering. However, the main
ideas and perspectives should
come from the students’ own
thinking.
Public education
article
Encourage students to pay attention to
societal needs, to consolidate and integrate
knowledge learned from lectures, and to
apply the learned knowledge to tackle realworld issues.
Using AI tools for
checking grammar.
Using AI tools to generate
any content ideas or to
write the essay.
This assignment requires the
student to work on it
independently.","Statement starts with a big ""However"".
The accepted and unaccepted uses are stated clearly with rationale with respect to assessment purpose.",YM,,1,5,Internal
HK-023,Course-wide,Hong Kong,,HKU,PSYC7315 Course Syllabus,Syllabus,2024,https://psychology.hku.hk/wp-content/programmes/MSocScPsy/CourseOutlines/7315.pdf,Cautious,Required,Instructor decides,Academic Integrity,Pedagogy/Learning,Explicit penalties,Students only,"The University provides students with access to GenAI tools. However, their application is (a) not
necessary for learning the contents of this course and (b) not expected to be advantageous for completing
the course’s assignments. The GenAI tools, at least at this stage of development, should not be taken as
reliable sources of knowledge for this course, for which the answers of GenAI tools to questions are too
often (a) loaded with inaccuracies, (b) incomplete, and/or (c) misleadingly represented. Students who
nonetheless choose to use any GenAI tools for completing their homework assignments should note that
the same academic integrity standards are applicable for applying the tools as for other references. The
application of GenAI, if any, in submitted work should be properly acknowledged. Submitting any
GenAI output, in part or in whole, for homework assignments without explicit referencing (to
indicate that the contents concerned are generated by the GenAI sources) will constitute
plagiarism.","There is a separate section for ""Plagiarism"" detailing the penalties.",YM,,1,5,Internal
HK-024,Course-wide,Hong Kong,,HKU,UPAD7001 Course Syllabus,Syllabus,2025,https://foa-media.arch.hku.hk/media/upload/2025/10/UPAD7001_Reseach_Design_Seminar_Series_Course-Outline_2025-2026_10Sep.pdf,Functional,Required,Instructor decides,Academic Integrity,,Explicit penalties,Students only,"Generative AI (GAI) –
1. Students are expected to do their assignments themselves and not asking someone
else or Generative AI to do it for them.
2. The use of GAI needs to be properly declared. The declaration should include but
not limited to which tool(s) and version are used at what stage and for what
purposes as well as whether GAI generated texts have been further digested and
rewritten by students in their assignments.
3. As an English medium university, we are expecting our students to be able to
submit their assignments in their own written English and not translated by
someone else, the computer, or Generative AI.
4. Assignments not done by the students themselves may result in grade penalties
and constitute academic misconduct. Students are advised to consult and confirm
with course teachers regarding permitted uses of GAI for individual courses and
assignments.","Looks like a generic statement, e.g. ""consult and confirm with course teachers... for individual courses and assignments"".
But this document is a syllabus of a single course - UPAD7001 Research Design Seminar Series.

Using AI = Asking someone else

""MAY result in penalties""",YM,,2,5,Internal
HK-025,Course-wide,Hong Kong,,HKU,GEOG3422 Course Syllabus,Syllabus,2025,https://bpyloo.hku.hk/wp-content/uploads/2025/09/GEOG3422-Course-Outline-01Sep2025.pdf,Cautious,Required,Instructor decides,Academic Integrity,,Explicit penalties,Students only,"The course instructor and the course TA will check the originality report prior to
marking. We view breaches of copyright and plagiarism, as well as the improper use of
GenAI, very seriously.
• When the detected AI percentage surpass the threshold of 30%, course teachers will
provide the relevant students with the AI detection reports, and ask them to explain the
process whereby they arrived at the submitted assignment, accompanied with any
supporting documents (e.g. initial drafts, sources of data, and references read).
• When grading the assignments with AI detection rate over the threshold, the teachers
will consider the AI detection report (including which part of the writing is flagged)
together with the student explanation.
• Plagiarized work or work with improper use of AI will receive a fail grade. There may
also be disciplinary action against the student who commits the above offence.","It is explicit that one ot the reason of using Turnitin is the detection of improper AI use (bigger than 30%).

All negative. No mention of how GenAI may be useful. Almost Prohibitive, but still, 30% is 30%.
",YM,,1,5,Internal
HK-026,Institutional,Hong Kong,,PolyU,Guidelines for Students on the Use of Generative Artificial Intelligence,Official Guidance,1/1/2026,https://www.polyu.edu.hk/ar/docdrive/polyu-students/Student-guide-on-the-use-of-GenAI-revised-260105.pdf,Encouraging,Conditional,Hybrid,Academic Integrity,Privacy/Data/Ethics,Referenced to integrity code,Students only,"PolyU takes an open and forward-looking stance on the use of GenAI tools as a positive and creative force in education... While embracing the use of new technology in education, PolyU upholds the principle that students must adhere to high standards of academic integrity... The Student Code of Conduct and the policy on academic integrity apply to the use of GenAI in student work.

In accordance with the above stance, the University emphasises that:
• students are accountable for their own work; and
• the use of GenAI (if permitted) in student work should be properly acknowledged.

Some subjects and assessments may not allow or have restrictions on the use of GenAI tools. You may be required to declare the use of GenAI tools (e.g. by completing an honour declaration form) and identify the AI-generated content in your work. You should refer to the relevant
subject and assessment documents for the specific restrictions and requirements. ... If in doubt, check with your teachers.

Using Generative AI critically | ethical | wisely (DOs and DON'Ts)","There is no need for new rules; simply integrate GenAI into the existing academic integrity framework,which is findinga comermise ground between ai tools and guidelines",cy,,3,3,Internal
